Probe	K562-dCAS9-1	K562-dCAS9-2	K562-dCas9-sep-1	K562-dCas9-sep-2	K562-dCas9-all-1	OCI-dCAS9-1	OCI-dCAS9-2	OCI-dCas9-sep-1	OCI-dCas9-sep-2	OCI-dCas9-all-1
RP13-487K5.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GUCY1A3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-588K22.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GUCY1B3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASIC5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TDO2	6.0	0.0	2.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0
CTSO	5.0	0.0	0.0	0.0	0.0	45.0	56.0	29.0	39.0	39.0
RP11-171N4.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-171N4.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-171N4.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-171N4.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PDGFC	0.0	0.0	0.0	0.0	2.0	71.0	164.0	73.0	31.0	41.0
RP11-154F14.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-154F14.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-612J15.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GLRB	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0
GRIA2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-364P22.1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
RP11-364P22.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-364P22.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-312A15.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-597D13.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-597D13.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAM198B	16.0	6.0	0.0	0.0	0.0	110.0	249.0	210.0	153.0	158.0
RP11-597D13.9	0.0	0.0	0.0	0.0	0.0	28.0	38.0	73.0	23.0	45.0
RP11-597D13.8	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TMEM144	260.0	117.0	165.0	235.0	213.0	77.0	233.0	50.0	55.0	48.0
RXFP1	3.0	0.0	3.0	0.0	3.0	420.0	1571.0	383.0	263.0	140.0
RP11-781M16.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C4orf46	618.0	257.0	491.0	619.0	586.0	1284.0	2167.0	698.0	887.0	1065.0
ETFDH	386.0	151.0	406.0	330.0	401.0	600.0	1089.0	368.0	395.0	476.0
PPID	732.0	628.0	734.0	1474.0	809.0	645.0	1689.0	349.0	470.0	564.0
FNIP2	1161.0	301.0	838.0	626.0	956.0	391.0	657.0	251.0	245.0	374.0
C4orf45	20.0	0.0	6.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
RAPGEF2	1767.0	386.0	1701.0	992.0	1980.0	593.0	1048.0	472.0	468.0	584.0
RP11-138A23.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-6C14.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-502M1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
RP11-234O6.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FSTL5	20.0	7.0	12.0	55.0	21.0	14.0	47.0	5.0	7.0	0.0
RP11-497K21.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005150.1	12.0	1.0	5.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
RP11-563E2.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NAF1	386.0	308.0	489.0	757.0	507.0	537.0	1198.0	352.0	391.0	470.0
NPY1R	1.0	0.0	0.0	0.0	6.0	110.0	144.0	62.0	89.0	105.0
NPY5R	0.0	0.0	0.0	0.0	0.0	27.0	46.0	15.0	33.0	24.0
TKTL2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TMA16	386.0	371.0	491.0	752.0	624.0	957.0	2017.0	584.0	847.0	831.0
MARCH1	52.0	9.0	22.0	11.0	11.0	1.0	0.0	0.0	0.0	0.0
RP11-218F10.3	18.0	6.0	15.0	11.0	20.0	27.0	54.0	18.0	6.0	15.0
LINC01207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
APELA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRIM61	4.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
FAM218A	5.0	1.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0
RP11-366M4.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRIM60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TMEM192	467.0	233.0	380.0	582.0	475.0	667.0	1604.0	389.0	468.0	536.0
KLHL2	239.0	121.0	190.0	217.0	224.0	405.0	796.0	211.0	293.0	344.0
MSMO1	663.0	722.0	2413.0	2492.0	3157.0	481.0	1362.0	270.0	334.0	482.0
CPE	2.0	2.0	5.0	1.0	8.0	0.0	0.0	0.0	0.0	0.0
LINC01179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TLL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-217C7.1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
SPOCK3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-436A7.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-310I9.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANXA10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DDX60	17.0	5.0	4.0	11.0	6.0	165.0	292.0	84.0	108.0	111.0
DDX60L	360.0	90.0	227.0	225.0	199.0	943.0	1799.0	581.0	444.0	497.0
PALLD	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-610J23.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-635L1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-635L1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CBR4	470.0	365.0	532.0	744.0	609.0	573.0	928.0	352.0	446.0	442.0
RP11-483A20.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
SH3RF1	2.0	0.0	3.0	1.0	2.0	224.0	469.0	85.0	118.0	138.0
RP11-327O17.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NEK1	838.0	352.0	719.0	738.0	780.0	433.0	749.0	236.0	233.0	330.0
CLCN3	2865.0	1341.0	3276.0	3006.0	3640.0	925.0	1761.0	582.0	647.0	790.0
C4orf27	470.0	240.0	457.0	570.0	530.0	394.0	739.0	205.0	298.0	316.0
RP11-205M3.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-6E9.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-6E9.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MFAP3L	13.0	0.0	13.0	0.0	5.0	21.0	18.0	19.0	2.0	34.0
AADAT	0.0	0.0	0.0	0.0	2.0	8.0	13.0	4.0	11.0	6.0
RP11-789C1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-789C1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-322J23.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-344G13.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-717H13.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-97E7.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-97E7.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GALNTL6	4.0	0.0	9.0	10.0	9.0	0.0	0.0	0.0	1.0	0.0
RP11-10K16.1	45.0	14.0	55.0	49.0	70.0	32.0	40.0	23.0	28.0	19.0
GALNT7	1199.0	469.0	751.0	1262.0	865.0	622.0	1529.0	243.0	348.0	410.0
RP11-798M19.3	5.0	2.0	5.0	2.0	7.0	12.0	24.0	10.0	5.0	7.0
HMGB2	4318.0	2500.0	5488.0	6071.0	6843.0	7374.0	15776.0	3766.0	5386.0	6202.0
RP11-798M19.6	20.0	14.0	39.0	21.0	53.0	8.0	12.0	20.0	5.0	7.0
SAP30	239.0	135.0	317.0	308.0	372.0	195.0	544.0	125.0	115.0	162.0
SCRG1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-489G11.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HAND2	35.0	25.0	35.0	42.0	64.0	23.0	9.0	43.0	14.0	28.0
HAND2-AS1	46.0	7.0	21.0	16.0	34.0	0.0	0.0	1.0	0.0	1.0
RP11-475B2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-161D15.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-161D15.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-161D15.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-148L24.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-248N22.1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
RP11-248N22.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FBXO8	321.0	152.0	324.0	296.0	391.0	220.0	365.0	103.0	171.0	180.0
CEP44	923.0	470.0	1318.0	1015.0	1716.0	639.0	1021.0	387.0	420.0	533.0
RP11-51M24.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HPGD	423.0	48.0	113.0	317.0	87.0	0.0	0.0	0.0	2.0	1.0
RP11-440I14.2	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-440I14.3	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GLRA3	7.0	3.0	7.0	4.0	34.0	0.0	0.0	0.0	0.0	0.0
ADAM29	0.0	0.0	0.0	0.0	0.0	18.0	21.0	9.0	12.0	5.0
RP13-577H12.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-287F9.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-598D14.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GPM6A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-806K15.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WDR17	1.0	0.0	0.0	0.0	2.0	35.0	68.0	17.0	30.0	29.0
SPATA4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
ASB5	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
RP11-87F15.2	2.0	0.0	5.0	2.0	4.0	6.0	2.0	1.0	1.0	2.0
SPCS3	7034.0	2690.0	4918.0	5824.0	5383.0	4214.0	9192.0	2074.0	2581.0	3771.0
RP11-313E19.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VEGFC	0.0	0.0	0.0	0.0	0.0	41.0	65.0	37.0	30.0	49.0
RP11-624A4.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-765K14.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-487E13.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NEIL3	398.0	196.0	403.0	453.0	533.0	870.0	1980.0	373.0	589.0	593.0
RP11-376O6.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AGA	531.0	85.0	200.0	207.0	227.0	552.0	553.0	170.0	475.0	357.0
RP11-130F10.1	6.0	0.0	3.0	0.0	1.0	7.0	7.0	0.0	0.0	0.0
RP11-140M13.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01098	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01099	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
RP11-404J23.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-460H9.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00290	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-665C14.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-540E16.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC108142.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TENM3	0.0	0.0	0.0	0.0	0.0	44.0	43.0	17.0	19.0	31.0
RP11-402C9.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-18D7.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-18D7.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-188P17.2	1.0	0.0	0.0	1.0	3.0	1.0	7.0	0.0	3.0	0.0
DCTD	1147.0	600.0	1081.0	1623.0	1285.0	1648.0	2729.0	1010.0	1144.0	1294.0
RP11-335L23.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-335L23.5	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
WWC2-AS2	9.0	0.0	6.0	3.0	4.0	5.0	2.0	8.0	3.0	7.0
WWC2	808.0	458.0	851.0	1107.0	894.0	528.0	527.0	438.0	400.0	533.0
WWC2-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLDN22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLDN24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CDKN2AIP	518.0	239.0	431.0	537.0	507.0	604.0	1476.0	279.0	382.0	472.0
RP11-367N14.2	2.0	0.0	3.0	3.0	2.0	4.0	4.0	2.0	4.0	2.0
ING2	102.0	78.0	133.0	159.0	144.0	170.0	324.0	106.0	85.0	115.0
RP11-367N14.3	2.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	1.0
RWDD4	271.0	203.0	318.0	426.0	323.0	289.0	801.0	195.0	290.0	274.0
TRAPPC11	1073.0	495.0	1263.0	1157.0	1541.0	1782.0	3160.0	966.0	1150.0	1290.0
STOX2	0.0	0.0	0.0	0.0	0.0	252.0	731.0	113.0	147.0	93.0
RP11-739P1.2	0.0	0.0	0.0	0.0	0.0	7.0	27.0	3.0	5.0	4.0
ENPP6	1.0	0.0	0.0	0.0	0.0	16.0	18.0	8.0	16.0	11.0
RP11-290F5.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
RP11-290F5.1	0.0	0.0	2.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0
IRF2	379.0	121.0	356.0	319.0	365.0	399.0	945.0	254.0	329.0	356.0
RP11-326I11.5	6.0	0.0	2.0	1.0	6.0	5.0	12.0	2.0	0.0	5.0
RP11-326I11.3	34.0	13.0	22.0	33.0	17.0	69.0	76.0	33.0	18.0	33.0
RP11-326I11.4	1.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
RP11-242J7.1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
CASP3	797.0	328.0	603.0	860.0	676.0	692.0	1808.0	297.0	392.0	544.0
PRIMPOL	414.0	146.0	328.0	349.0	341.0	404.0	566.0	201.0	296.0	308.0
CENPU	1311.0	535.0	1150.0	1206.0	1171.0	1292.0	1728.0	395.0	666.0	1014.0
ACSL1	1441.0	354.0	829.0	648.0	761.0	3949.0	5452.0	2591.0	2165.0	2766.0
RP11-701P16.2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-701P16.5	76.0	7.0	24.0	17.0	27.0	0.0	3.0	0.0	0.0	0.0
LINC01093	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
RP11-517M22.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-386B13.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HELT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-386B13.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC25A4	396.0	256.0	510.0	582.0	570.0	39.0	96.0	16.0	21.0	26.0
CFAP97	1858.0	1107.0	1997.0	2754.0	2412.0	1266.0	3131.0	716.0	1056.0	1000.0
SNX25	428.0	158.0	452.0	370.0	504.0	34.0	107.0	45.0	24.0	34.0
LRP2BP	18.0	3.0	19.0	12.0	25.0	5.0	15.0	2.0	12.0	2.0
RP11-714G18.1	3.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
ANKRD37	46.0	25.0	127.0	32.0	185.0	32.0	48.0	43.0	10.0	38.0
UFSP2	228.0	174.0	396.0	412.0	495.0	192.0	469.0	174.0	165.0	158.0
C4orf47	1.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0
CCDC110	0.0	0.0	5.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0
RP11-279O9.4	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PDLIM3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SORBS2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-301L8.2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-626E13.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-45I20.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TLR3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAM149A	0.0	0.0	0.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0
FLJ38576	3.0	0.0	4.0	7.0	5.0	9.0	15.0	7.0	4.0	3.0
CYP4V2	343.0	40.0	210.0	149.0	206.0	590.0	671.0	299.0	316.0	431.0
KLKB1	20.0	5.0	11.0	11.0	12.0	39.0	42.0	19.0	23.0	22.0
F11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
F11-AS1	155.0	17.0	137.0	42.0	142.0	0.0	0.0	0.0	0.0	0.0
RP11-215A19.2	66.0	7.0	74.0	21.0	73.0	0.0	0.0	0.0	0.0	0.0
MTNR1A	1.0	0.0	1.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0
FAT1	865.0	533.0	612.0	1496.0	679.0	274.0	80.0	277.0	64.0	268.0
RP11-11N5.1	28.0	5.0	34.0	7.0	30.0	4.0	1.0	0.0	1.0	2.0
RP11-11N5.3	19.0	0.0	23.0	10.0	21.0	0.0	1.0	0.0	1.0	0.0
RP11-217E13.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-696F12.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-308K2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-138B4.1	2.0	0.0	1.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0
RP11-91J3.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-91J3.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-237D3.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-565A3.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-565A3.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZFP42	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRIML2	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRIML1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-366H4.3	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-366H4.1	19.0	6.0	12.0	17.0	12.0	0.0	0.0	0.0	0.0	0.0
LINC01060	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-756P10.6	16.0	5.0	14.0	7.0	19.0	12.0	14.0	13.0	4.0	14.0
RP11-756P10.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-756P10.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-756P10.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-818C3.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-706F1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-706F1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01262	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0
RP11-462G22.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AF146191.4	34.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-463J17.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-463J17.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FRG1	352.0	150.0	287.0	325.0	249.0	297.0	596.0	163.0	238.0	208.0
FRG2	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DUX4L8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DUX4L7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DUX4L6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DUX4L5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DUX4L4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DUX4L1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DUX4L3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DUX4L2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DUX4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTD-2231H16.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PLEKHG4B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRRC14B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTD-2083E4.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCDC127	454.0	117.0	333.0	365.0	370.0	400.0	709.0	278.0	252.0	428.0
CTD-2083E4.4	13.0	1.0	17.0	9.0	16.0	12.0	21.0	16.0	2.0	10.0
SDHA	1681.0	1320.0	2483.0	3360.0	3122.0	4439.0	7430.0	3040.0	2913.0	4111.0
CTD-2083E4.6	0.0	2.0	6.0	6.0	3.0	0.0	6.0	1.0	1.0	3.0
PDCD6	1484.0	649.0	1070.0	1439.0	1128.0	2720.0	3706.0	1746.0	1426.0	2436.0
AHRR	112.0	29.0	71.0	63.0	71.0	2841.0	3181.0	2531.0	1448.0	2116.0
C5orf55	30.0	24.0	30.0	45.0	31.0	133.0	152.0	62.0	44.0	126.0
EXOC3	1010.0	329.0	777.0	842.0	955.0	3160.0	4298.0	2167.0	1376.0	2186.0
PP7080	399.0	204.0	301.0	468.0	351.0	393.0	563.0	227.0	163.0	334.0
CTD-2228K2.7	64.0	14.0	95.0	29.0	101.0	729.0	249.0	659.0	67.0	454.0
SLC9A3	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
RP11-310P5.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-310P5.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CEP72	446.0	217.0	461.0	513.0	520.0	690.0	889.0	408.0	306.0	493.0
TPPP	1.0	0.0	2.0	1.0	3.0	0.0	8.0	2.0	3.0	0.0
CTD-2589H19.6	28.0	1.0	15.0	3.0	6.0	43.0	30.0	8.0	3.0	23.0
ZDHHC11B	0.0	0.0	8.0	0.0	10.0	9.0	4.0	5.0	1.0	6.0
ZDHHC11	16.0	0.0	29.0	4.0	30.0	73.0	39.0	29.0	23.0	51.0
BRD9	866.0	440.0	700.0	951.0	810.0	1984.0	2855.0	1314.0	899.0	1604.0
TRIP13	610.0	600.0	666.0	1304.0	791.0	1547.0	3033.0	939.0	1213.0	1653.0
RP11-661C8.2	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
RP11-661C8.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-43F13.3	17.0	0.0	1.0	0.0	0.0	147.0	160.0	165.0	91.0	120.0
RP11-43F13.4	0.0	0.0	0.0	0.0	0.0	3.0	2.0	4.0	3.0	3.0
NKD2	0.0	0.0	1.0	0.0	1.0	180.0	666.0	45.0	139.0	34.0
SLC12A7	55.0	30.0	71.0	7.0	78.0	129.0	330.0	72.0	44.0	57.0
CTD-3080P12.3	0.0	0.0	4.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
SLC6A19	307.0	3.0	137.0	75.0	127.0	0.0	0.0	0.0	0.0	0.0
SLC6A18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TERT	6.0	28.0	55.0	33.0	50.0	636.0	647.0	480.0	264.0	435.0
CLPTM1L	1036.0	553.0	785.0	1440.0	859.0	2301.0	3700.0	1279.0	1369.0	2014.0
